STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,GIN,RWB_PFI_RANK,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Guinea,Press Freedom Index Rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,79.0,109.0,88.0,102.0,109.0,107.0,99.0,100.0,113.0,86.0,86.0,102.0,102.0,108.0,101.0,104.0,107.0,110.0,109.0,84.0,85.0,78.0,103.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ITA,RWB_PFI_SOCIAL_CONTEXT,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Italy,Press Freedom Index: Sociocultural context,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,80.0,73.86,69.98,67.22
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,PNG,RWB_PFI_SOCIAL_CONTEXT,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Papua New Guinea,Press Freedom Index: Sociocultural context,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,81.33,71.97,56.43,57.01
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BIH,RWB_PFI_RANK_LEG,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Bosnia and Herzegovina,Press Freedom Index: Legal framework rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,35.0,38.0,71.0,67.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MDG,RWB_PFI_LEGAL_CONTEXT,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Madagascar,Press Freedom Index: Legal framework,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,64.47,60.69,56.73,55.35
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,LIE,RWB_PFI_RANK_SOC,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Liechtenstein,Press Freedom Index: Sociocultural context rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,14.0,7.0,32.0,10.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CHE,RWB_PFI_LEGAL_CONTEXT,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Switzerland,Press Freedom Index: Legal framework,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,80.99,77.95,78.85,83.73
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MEX,RWB_PFI_SAFETY,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Mexico,Press Freedom Index: Safety,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,11.02,23.68,27.28,27.7
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CAF,RWB_PFI_ECONOMIC_CONTEXT,_Z,_Z,_Z,SCORE,_Z,_Z,_Z,NUMBER,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Central African Republic,Press Freedom Index: Economic context,Not applicable,Not applicable,Not applicable,Score,Not Applicable,Not Applicable,Not Applicable,Number (real number),Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,41.07,49.02,44.97,40.79
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CPV,RWB_PFI_RANK_SAF,_Z,_Z,_Z,RANK,_Z,_Z,_Z,RANK,RWB_PFI,602,0,RWB_PFI,PU,A,Annual,Cabo Verde,Press Freedom Index: Safety rank,Not applicable,Not applicable,Not applicable,Rank,Not Applicable,Not Applicable,Not Applicable,Rank,Press Freedom Index,CCYY,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,19.0,25.0,25.0,10.0
